Graduating class,Company/Org sector,Current job position/professional engagement sector
2017,Biotechnology/Pharmaceuticals,Finance
2017,Tech/Software,Tech/Software
2017,,
2017,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2017,Finance,Finance
2017,Tech/Software,Internal Communications/Management/Administration
2017,,Law
2017,Philanthropy/Welfare/Nonprofit,Research - Interdisciplinary
2017,Finance,Tech/Software
2017,Business Consulting/Strategy,Business Consulting/Strategy
2017,Tech/Software,Product & Strategy (non-technical)
2017,Finance,Finance
2017,Politics/Government,Internal Communications/Management/Administration
2017,Engineering,Other
2017,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2017,Academia,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2017,Finance,Finance
2017,Engineering,Other
2017,Engineering,Marketing/Public Relations
2017,Education,Education
2017,Arts/Media,Arts/Media
2017,Education,Education
2017,Entertainment,Internal Communications/Management/Administration
2017,Philanthropy/Welfare/Nonprofit,Internal Communications/Management/Administration
2017,,
2017,Tech/Software,Tech/Software
2017,Tech/Software,Marketing/Public Relations
2017,Finance,Product & Strategy (non-technical)
2017,Tech/Software,Tech/Software
2017,Health,Research - Interdisciplinary
2017,Tech/Software,Tech/Software
2017,,
2017,Education,Education
2017,,
2017,,
2017,,Arts/Media
2017,,Engineering
2017,,
2017,Arts/Media,Marketing/Public Relations
2017,,Law
2017,Entertainment,Arts/Media
2017,Tech/Software,Internal Communications/Management/Administration
2017,Tech/Software,Internal Communications/Management/Administration
2017,Tech/Software,Tech/Software
2017,,Finance
2017,,Law
2017,Engineering,Engineering
2017,Academia,Research - Life Sciences
2017,,Arts/Media
2017,,
2017,Finance,Finance
2017,,
2017,Business Consulting/Strategy,Business Consulting/Strategy
2017,,Health
2017,Research,Engineering
2017,Academia,Research - Interdisciplinary
2017,,Law
2017,,
2017,Law,Law
2017,,
2017,,
2017,Other,Other
2017,Tech/Software,Tech/Software
2017,Other,Finance
2017,,
2017,,
2017,,Health
2017,,
2017,Marketing/Public Relations,Marketing/Public Relations
2017,Tech/Software,Tech/Software
2017,Finance,Finance
2017,Academia,Internal Communications/Management/Administration
2017,Tech/Software,UI/UX/Product Design/CAD
2017,Education,Education
2018,Entertainment,Law
2018,Philanthropy/Social Good/Nonprofit,Journalism
2018,Tech/Software,Tech/Software
2018,Marketing/Public Relations,Marketing/Public Relations
2018,Finance,Finance
2018,,
2018,Finance,Research - Interdisciplinary
2018,Education,Education
2018,,
2018,Research,"Research - Engineering, Computational, Mathmatical, Physical Sciences"
2018,,
2018,Arts/Media,Arts/Media
2018,Tech/Software,Internal Communications/Management/Administration
2018,Academia,Research - Social Sciences & Humanities
2018,,Health
2018,,
2018,Business Consulting/Strategy,Business Consulting/Strategy
2018,Engineering,Tech/Software
2018,Business Consulting/Strategy,Business Consulting/Strategy
2018,Tech/Software,UI/UX/Product Design/CAD
2018,,
2018,,
2018,,
2018,Academia,Research - Interdisciplinary
2018,Academia,Research - Social Sciences & Humanities
2018,Tech/Software,Marketing/Public Relations
