Graduating class,Postgraduate Education?
2017,No
2017,Yes
2017,Yes
2017,Yes
2017,No
2017,No
2017,Yes
2017,No
2017,No
2017,No
2017,No
2017,No
2017,No
2017,Yes
2017,Yes
2017,Yes
2017,No
2017,No
2017,No
2017,No
2017,No
2017,Yes
2017,Yes
2017,No
2017,
2017,No
2017,No
2017,No
2017,No
2017,Yes
2017,Yes
2017,
2017,Yes
2017,
2017,
2017,No
2017,No
2017,
2017,No
2017,Yes
2017,No
2017,No
2017,No
2017,
2017,Yes
2017,Yes
2017,No
2017,Yes
2017,No
2017,
2017,No
2017,No
2017,Yes
2017,Yes
2017,Yes
2017,Yes
2017,Yes
2017,
2017,Yes
2017,
2017,
2017,No
2017,No
2017,No
2017,
2017,
2017,Yes
2017,Yes
2017,No
2017,No
2017,No
2017,Yes
2017,No
2017,Yes
2018,Yes
2018,No
2018,No
2018,No
2018,Yes
2018,
2018,No
2018,No
2018,
2018,No
2018,
2018,No
2018,No
2018,Yes
2018,Yes
2018,
2018,No
2018,No
2018,No
2018,Yes
2018,
2018,
2018,
2018,Yes
2018,Yes
2018,No
2018,No
2018,No
2018,
2018,Yes
2018,Yes
2018,No
2018,No
2018,
2018,No
2018,Yes
2018,No
2018,No
2018,No
2018,No
2018,No
2018,No
2018,No
2018,No
2018,No
2018,No
2018,No
2018,Yes
2018,No
2018,No
2018,
2018,No
2018,
2018,
2018,Yes
2018,
2018,No
2018,No
2018,Yes
2018,No
2018,Yes
2018,Yes
2018,Yes
2018,Yes
2018,
2018,Yes
2018,
2018,Yes
2018,
2018,
2018,No
2018,No
2018,Yes
2018,Yes
2018,No
2018,No
2018,Yes
2018,Yes
2018,Yes
2019,No
2019,No
2019,
2019,No
2019,No
2019,Yes
2019,No
2019,No
2019,No
2019,
2019,No
2019,No
2019,No
2019,No
2019,Yes
2019,
2019,Yes
2019,No
2019,
2019,Yes
2019,Yes
2019,Yes
2019,No
2019,No
2019,No
2019,No
2019,
2019,No
2019,Yes
2019,Yes
2019,No
2019,No
2019,No
2019,Yes
2019,No
2019,No
2019,No
2019,No
2019,Yes
2019,No
2019,Yes
2019,No
2019,No
2019,No
2019,No
2019,Yes
2019,No
2019,No
2019,
2019,No
2019,Yes
2019,No
2019,No
2019,No
2019,Yes
2019,No
2019,No
2019,Yes
2019,
2019,No
2019,Yes
2019,Yes
2019,No
2019,
2019,Yes
2019,Yes
2019,Yes
2019,
2019,
2019,Yes
2019,Yes
2019,No
2019,No
2019,
2019,No
2020,Yes
2020,Yes
2020,
2020,No
2020,No
2020,
2020,
2020,No
2020,
2020,
2020,No
2020,No
2020,
2020,Yes
2020,No
2020,
2020,Yes
2020,No
2020,No
2020,Yes
2020,No
2020,No
2020,Yes
2020,No
2020,Yes
2020,
2020,Yes
2020,
2020,No
2020,No
2020,No
2020,No
2020,No
2020,Yes
2020,No
2020,Yes
2020,
2020,Yes
2020,No
2020,
2020,No
2020,Yes
2020,Yes
2020,Yes
2020,Yes
2020,No
2020,Yes
2020,No
2020,Yes
2020,Yes
2020,No
2020,Yes
2020,No
2020,Yes
2020,No
2020,No
2020,No
2020,Yes
2020,No
2020,No
2020,Yes
2020,No
2020,No
2020,
2020,Yes
2020,
2020,Yes
2020,
2020,No
2020,Yes
2020,No
2020,No
2020,Yes
2020,No
2020,Yes
2020,
2020,No
2020,No
2020,No
2020,Yes
2020,Yes
2020,Yes
2020,No
2020,No
2020,No
2020,
2020,Yes
2020,
2020,No
2020,No
2020,Yes
2020,No
2021,No
2021,
2021,No
2021,No
2021,No
2021,No
2021,No
2021,No
2021,No
2021,
2021,No
2021,No
2021,No
2021,No
2021,
2021,Yes
2021,Yes
2021,
2021,
2021,
2021,No
2021,Yes
,
2021,No
2021,
2021,No
2021,
2021,
2021,
2021,
2021,Yes
2021,No
2021,No
2021,No
2021,No
2021,
2021,Yes
2021,
2021,Yes
2021,
2021,No
2021,
2021,No
2021,
2021,
2021,
2021,Yes
2021,
2021,No
2021,
2021,
2021,
2021,
2021,
2021,
2021,No
2021,No
2021,
2021,
2021,No
2021,
2021,No
2021,No
2021,
2021,
2021,Yes
2021,No
2021,
2021,No
2021,No
2021,
2021,No
2021,
2021,
2021,Yes
2021,
2021,Yes
2021,
2021,No
2021,No
2021,No
2021,Yes
2021,
2021,No
2021,Yes
2021,No
2021,No
2021,No
2021,No
2021,
2021,No
2021,Yes
2021,Yes
2021,No
2021,No
2021,No
2021,No
